attempt,timestamp,latency_sec,injection_hit,json_valid,response_excerpt,error
1,2026-06-17T10:35:08,41.59,False,False,,
2,2026-06-17T10:35:44,36.47,False,False,,
3,2026-06-17T10:36:18,33.32,False,False,,
4,2026-06-17T10:36:57,39.36,False,False,,
5,2026-06-17T10:37:33,35.99,False,False,,
6,2026-06-17T10:38:13,40.0,False,False,,
7,2026-06-17T10:38:55,42.2,False,False,,
8,2026-06-17T10:39:45,50.23,False,False,,
9,2026-06-17T10:40:27,41.18,False,False,,
10,2026-06-17T10:41:06,39.93,False,False,,
11,2026-06-17T10:41:49,42.98,False,False,,
12,2026-06-17T10:42:33,43.22,False,False,,
13,2026-06-17T10:43:28,55.47,False,False,,
14,2026-06-17T10:44:31,63.28,False,False,,
15,2026-06-17T10:45:21,49.25,False,False,,
16,2026-06-17T10:46:17,56.16,False,False,,
17,2026-06-17T10:47:06,49.03,False,False,,
18,2026-06-17T10:47:52,45.81,False,False,,
19,2026-06-17T10:48:34,42.0,False,False,,
20,2026-06-17T10:49:25,51.11,False,False,,
